sample_name;Replicate;Time_Cat;Day;Phase;Phase_major
MBCe0130.mzML;1;T1;3;Early;Early
MBCe0131.mzML;2;T1;3;Early;Early
MBCe0132.mzML;3;T1;3;Early;Early
MBCe0133.mzML;4;T1;3;Early;Early
MBCe0135.mzML;6;T1;3;Early;Early
MBCe0136.mzML;7;T1;3;Early;Early
MBCe0137.mzML;8;T1;3;Early;Early
MBCe0138.mzML;9;T1;3;Early;Early
MBCe0139.mzML;1;T2;7;Early;Early
MBCe0140.mzML;2;T2;7;Early;Early
MBCe0141.mzML;3;T2;7;Early;Early
MBCe0142.mzML;4;T2;7;Early;Early
MBCe0143.mzML;5;T2;7;Early;Early
MBCe0144.mzML;6;T2;7;Early;Early
MBCe0145.mzML;7;T2;7;Early;Early
MBCe0146.mzML;8;T2;7;Early;Early
MBCe0147.mzML;9;T2;7;Early;Early
MBCe0148.mzML;1;T3;10;Early;Early
MBCe0149.mzML;2;T3;10;Early;Early
MBCe0150.mzML;3;T3;10;Early;Early
MBCe0151.mzML;4;T3;10;Early;Early
MBCe0152.mzML;5;T3;10;Early;Early
MBCe0154.mzML;7;T3;10;Early;Early
MBCe0155.mzML;8;T3;10;Early;Early
MBCe0156.mzML;9;T3;10;Early;Early
MBCe0157.mzML;1;T4;15;Early;Early
MBCe0158.mzML;2;T4;15;Early;Early
MBCe0159.mzML;3;T4;15;Early;Early
MBCe0162.mzML;6;T4;15;Early;Early
MBCe0163.mzML;7;T4;15;Early;Early
MBCe0164.mzML;8;T4;15;Early;Early
MBCe0165.mzML;9;T4;15;Early;Early
MBCe0166.mzML;1;T5;23;Early;Early
MBCe0167.mzML;2;T5;23;Early;Early
MBCe0168.mzML;3;T5;23;Early;Early
MBCe0169.mzML;4;T5;23;Early;Early
MBCe0171.mzML;6;T5;23;Early;Early
MBCe0172.mzML;7;T5;23;Early;Early
MBCe0173.mzML;8;T5;23;Early;Early
MBCe0174.mzML;9;T5;23;Early;Early
MBCe0175.mzML;1;T6;29;Peak;Early
MBCe0176.mzML;2;T6;29;Peak;Early
MBCe0177.mzML;3;T6;29;Peak;Early
MBCe0178.mzML;4;T6;29;Peak;Early
MBCe0180.mzML;6;T6;29;Peak;Early
MBCe0181.mzML;7;T6;29;Peak;Early
MBCe0182.mzML;8;T6;29;Peak;Early
MBCe0183.mzML;9;T6;29;Peak;Early
MBCe0184.mzML;1;T7;44;Late;Late
MBCe0185.mzML;2;T7;44;Late;Late
MBCe0186.mzML;3;T7;44;Late;Late
MBCe0191.mzML;8;T7;44;Late;Late
MBCe0192.mzML;9;T7;44;Late;Late
MBCe0193.mzML;1;T8;57;Late;Late
MBCe0194.mzML;2;T8;57;Late;Late
MBCe0195.mzML;3;T8;57;Late;Late
MBCe0196.mzML;4;T8;57;Late;Late
MBCe0197.mzML;5;T8;57;Late;Late
MBCe0198.mzML;6;T8;57;Late;Late
MBCe0199.mzML;7;T8;57;Late;Late
MBCe0200.mzML;8;T8;57;Late;Late
MBCe0201.mzML;9;T8;57;Late;Late
MBCe0202.mzML;1;T9;71;Late;Late
MBCe0203.mzML;2;T9;71;Late;Late
MBCe0204.mzML;3;T9;71;Late;Late
MBCe0205.mzML;4;T9;71;Late;Late
MBCe0206.mzML;5;T9;71;Late;Late
MBCe0207.mzML;6;T9;71;Late;Late
MBCe0208.mzML;7;T9;71;Late;Late
MBCe0209.mzML;8;T9;71;Late;Late
MBCe0210.mzML;9;T9;71;Late;Late
MBCe0211.mzML;1;T10;85;Late;Late
MBCe0212.mzML;2;T10;85;Late;Late
MBCe0213.mzML;3;T10;85;Late;Late
MBCe0214.mzML;4;T10;85;Late;Late
MBCe0215.mzML;5;T10;85;Late;Late
MBCe0216.mzML;6;T10;85;Late;Late
MBCe0217.mzML;7;T10;85;Late;Late
MBCe0218.mzML;8;T10;85;Late;Late
MBCe0219.mzML;9;T10;85;Late;Late
MBCe0220.mzML;1;T11;99;Late;Late
MBCe0221.mzML;2;T11;99;Late;Late
MBCe0222.mzML;3;T11;99;Late;Late
MBCe0223.mzML;4;T11;99;Late;Late
MBCe0224.mzML;5;T11;99;Late;Late
MBCe0225.mzML;6;T11;99;Late;Late
MBCe0226.mzML;7;T11;99;Late;Late
MBCe0227.mzML;8;T11;99;Late;Late
MBCe0228.mzML;9;T11;99;Late;Late
MBCe0229.mzML;1;T12;113;Late;Late
MBCe0230.mzML;2;T12;113;Late;Late
MBCe0231.mzML;3;T12;113;Late;Late
MBCe0232.mzML;4;T12;113;Late;Late
MBCe0233.mzML;5;T12;113;Late;Late
MBCe0234.mzML;6;T12;113;Late;Late
MBCe0235.mzML;7;T12;113;Late;Late
MBCe0236.mzML;8;T12;113;Late;Late
MBCe0237.mzML;9;T12;113;Late;Late