sample_name;Replicate;Time_Cat;Day;Phase;Phase_major;sample_name_2
MBCe0130.mzML;1;T1;3;Early;Early;Succession-T1-1
MBCe0131.mzML;2;T1;3;Early;Early;Succession-T1-2
MBCe0132.mzML;3;T1;3;Early;Early;Succession-T1-3
MBCe0133.mzML;4;T1;3;Early;Early;Succession-T1-4
MBCe0135.mzML;6;T1;3;Early;Early;Succession-T1-6
MBCe0136.mzML;7;T1;3;Early;Early;Succession-T1-7
MBCe0137.mzML;8;T1;3;Early;Early;Succession-T1-8
MBCe0138.mzML;9;T1;3;Early;Early;Succession-T1-9
MBCe0139.mzML;1;T2;7;Early;Early;Succession-T2-1
MBCe0140.mzML;2;T2;7;Early;Early;Succession-T2-2
MBCe0141.mzML;3;T2;7;Early;Early;Succession-T2-3
MBCe0142.mzML;4;T2;7;Early;Early;Succession-T2-4
MBCe0143.mzML;5;T2;7;Early;Early;Succession-T2-5
MBCe0144.mzML;6;T2;7;Early;Early;Succession-T2-6
MBCe0145.mzML;7;T2;7;Early;Early;Succession-T2-7
MBCe0146.mzML;8;T2;7;Early;Early;Succession-T2-8
MBCe0147.mzML;9;T2;7;Early;Early;Succession-T2-9
MBCe0148.mzML;1;T3;10;Early;Early;Succession-T3-1
MBCe0149.mzML;2;T3;10;Early;Early;Succession-T3-2
MBCe0150.mzML;3;T3;10;Early;Early;Succession-T3-3
MBCe0151.mzML;4;T3;10;Early;Early;Succession-T3-4
MBCe0152.mzML;5;T3;10;Early;Early;Succession-T3-5
MBCe0154.mzML;7;T3;10;Early;Early;Succession-T3-7
MBCe0155.mzML;8;T3;10;Early;Early;Succession-T3-8
MBCe0156.mzML;9;T3;10;Early;Early;Succession-T3-9
MBCe0157.mzML;1;T4;15;Early;Early;Succession-T4-1
MBCe0158.mzML;2;T4;15;Early;Early;Succession-T4-2
MBCe0159.mzML;3;T4;15;Early;Early;Succession-T4-3
MBCe0162.mzML;6;T4;15;Early;Early;Succession-T4-6
MBCe0163.mzML;7;T4;15;Early;Early;Succession-T4-7
MBCe0164.mzML;8;T4;15;Early;Early;Succession-T4-8
MBCe0165.mzML;9;T4;15;Early;Early;Succession-T4-9
MBCe0166.mzML;1;T5;23;Early;Early;Succession-T5-1
MBCe0167.mzML;2;T5;23;Early;Early;Succession-T5-2
MBCe0168.mzML;3;T5;23;Early;Early;Succession-T5-3
MBCe0169.mzML;4;T5;23;Early;Early;Succession-T5-4
MBCe0171.mzML;6;T5;23;Early;Early;Succession-T5-6
MBCe0172.mzML;7;T5;23;Early;Early;Succession-T5-7
MBCe0173.mzML;8;T5;23;Early;Early;Succession-T5-8
MBCe0174.mzML;9;T5;23;Early;Early;Succession-T5-9
MBCe0175.mzML;1;T6;29;Peak;Early;Succession-T6-1
MBCe0176.mzML;2;T6;29;Peak;Early;Succession-T6-2
MBCe0177.mzML;3;T6;29;Peak;Early;Succession-T6-3
MBCe0178.mzML;4;T6;29;Peak;Early;Succession-T6-4
MBCe0180.mzML;6;T6;29;Peak;Early;Succession-T6-6
MBCe0181.mzML;7;T6;29;Peak;Early;Succession-T6-7
MBCe0182.mzML;8;T6;29;Peak;Early;Succession-T6-8
MBCe0183.mzML;9;T6;29;Peak;Early;Succession-T6-9
MBCe0184.mzML;1;T7;44;Late;Late;Succession-T7-1
MBCe0185.mzML;2;T7;44;Late;Late;Succession-T7-2
MBCe0186.mzML;3;T7;44;Late;Late;Succession-T7-3
MBCe0191.mzML;8;T7;44;Late;Late;Succession-T7-8
MBCe0192.mzML;9;T7;44;Late;Late;Succession-T7-9
MBCe0193.mzML;1;T8;57;Late;Late;Succession-T8-1
MBCe0194.mzML;2;T8;57;Late;Late;Succession-T8-2
MBCe0195.mzML;3;T8;57;Late;Late;Succession-T8-3
MBCe0196.mzML;4;T8;57;Late;Late;Succession-T8-4
MBCe0197.mzML;5;T8;57;Late;Late;Succession-T8-5
MBCe0198.mzML;6;T8;57;Late;Late;Succession-T8-6
MBCe0199.mzML;7;T8;57;Late;Late;Succession-T8-7
MBCe0200.mzML;8;T8;57;Late;Late;Succession-T8-8
MBCe0201.mzML;9;T8;57;Late;Late;Succession-T8-9
MBCe0202.mzML;1;T9;71;Late;Late;Succession-T9-1
MBCe0203.mzML;2;T9;71;Late;Late;Succession-T9-2
MBCe0204.mzML;3;T9;71;Late;Late;Succession-T9-3
MBCe0205.mzML;4;T9;71;Late;Late;Succession-T9-4
MBCe0206.mzML;5;T9;71;Late;Late;Succession-T9-5
MBCe0207.mzML;6;T9;71;Late;Late;Succession-T9-6
MBCe0208.mzML;7;T9;71;Late;Late;Succession-T9-7
MBCe0209.mzML;8;T9;71;Late;Late;Succession-T9-8
MBCe0210.mzML;9;T9;71;Late;Late;Succession-T9-9
MBCe0211.mzML;1;T10;85;Late;Late;Succession-T10-1
MBCe0212.mzML;2;T10;85;Late;Late;Succession-T10-2
MBCe0213.mzML;3;T10;85;Late;Late;Succession-T10-3
MBCe0214.mzML;4;T10;85;Late;Late;Succession-T10-4
MBCe0215.mzML;5;T10;85;Late;Late;Succession-T10-5
MBCe0216.mzML;6;T10;85;Late;Late;Succession-T10-6
MBCe0217.mzML;7;T10;85;Late;Late;Succession-T10-7
MBCe0218.mzML;8;T10;85;Late;Late;Succession-T10-8
MBCe0219.mzML;9;T10;85;Late;Late;Succession-T10-9
MBCe0220.mzML;1;T11;99;Late;Late;Succession-T11-1
MBCe0221.mzML;2;T11;99;Late;Late;Succession-T11-2
MBCe0222.mzML;3;T11;99;Late;Late;Succession-T11-3
MBCe0223.mzML;4;T11;99;Late;Late;Succession-T11-4
MBCe0224.mzML;5;T11;99;Late;Late;Succession-T11-5
MBCe0225.mzML;6;T11;99;Late;Late;Succession-T11-6
MBCe0226.mzML;7;T11;99;Late;Late;Succession-T11-7
MBCe0227.mzML;8;T11;99;Late;Late;Succession-T11-8
MBCe0228.mzML;9;T11;99;Late;Late;Succession-T11-9
MBCe0229.mzML;1;T12;113;Late;Late;Succession-T12-1
MBCe0230.mzML;2;T12;113;Late;Late;Succession-T12-2
MBCe0231.mzML;3;T12;113;Late;Late;Succession-T12-3
MBCe0232.mzML;4;T12;113;Late;Late;Succession-T12-4
MBCe0233.mzML;5;T12;113;Late;Late;Succession-T12-5
MBCe0234.mzML;6;T12;113;Late;Late;Succession-T12-6
MBCe0235.mzML;7;T12;113;Late;Late;Succession-T12-7
MBCe0236.mzML;8;T12;113;Late;Late;Succession-T12-8
MBCe0237.mzML;9;T12;113;Late;Late;Succession-T12-9